Input_A6_024,Input_A3_016,Input_C_013,Input_A2_016,Input_A3_017,Input_C_050,Input_A6_001,Input_C_096,Input_A3_018,Input_A6_019,Input_A1_020,Input_A6_011,Input_A3_015,Input_C_046,Input_C_049,Input_A2_024,Input_C_058,Input_C_057,Input_A3_013,Input_A2_017
0.012908471748232841,-0.030686810612678528,0.0043099005706608295,-0.029065333306789398,-0.028962191194295883,0.006679944694042206,0.012464102357625961,0.006300570443272591,-0.02658323384821415,-0.028561878949403763,0.7217222452163696,0.006040940526872873,0.01409736555069685,0.005890575237572193,-0.0038855557795614004,0.00971322413533926,0.009919065982103348,0.01787894405424595,0.0036433956120163202,-0.029154853895306587
0.008240524679422379,-0.02921079844236374,0.004137798678129911,-0.028504393994808197,-0.027248743921518326,0.005172151140868664,0.011827968060970306,0.00942232459783554,-0.025922540575265884,-0.029093673452734947,0.33233243227005005,0.00569896912202239,0.003985770512372255,0.0024892056826502085,-0.000307199836242944,0.006476915907114744,0.008253775537014008,0.01279311254620552,0.004543476738035679,-0.027154449373483658
0.006642960011959076,-0.029553711414337158,0.003931005019694567,-0.02851470559835434,-0.027064833790063858,0.0041368696838617325,0.011390567757189274,0.011413619853556156,-0.026120033115148544,-0.029348885640501976,0.22670142352581024,0.005422827787697315,0.0009528127266094089,0.001945453928783536,-0.00047772828838787973,0.006065779831260443,0.008056811057031155,0.011708404868841171,0.0050625549629330635,-0.026936832815408707
0.012108789756894112,-0.031369198113679886,0.004352846182882786,-0.02603612095117569,-0.025191010907292366,0.00798719935119152,0.013866763561964035,0.003915159497410059,-0.023068521171808243,-0.025481214746832848,1.0727953910827637,0.005856742151081562,0.02078857272863388,0.009924343787133694,-0.00794494803994894,0.010757328942418098,0.010151122696697712,0.0223187655210495,0.001141267130151391,-0.027061596512794495
0.0062775081023573875,-0.029350686818361282,0.003991984762251377,-0.02810095064342022,-0.02669561840593815,0.003920547664165497,0.011350318789482117,0.011424646712839603,-0.025880463421344757,-0.02923841029405594,0.22179041802883148,0.005477780941873789,0.0003665090771391988,0.0015552656259387732,-0.0001018625043798238,0.005915460642427206,0.007758851163089275,0.011321255937218666,0.005140654277056456,-0.02658887393772602
0.0089889420196414,-0.0306260846555233,0.005449273623526096,-0.020189553499221802,-0.01951194740831852,0.010929334908723831,0.019794631749391556,-0.0018782359547913074,-0.017393428832292557,-0.021122418344020844,1.656733751296997,0.005295787937939167,0.03429066762328148,0.014761319383978844,-0.012198440730571747,0.011061807163059711,0.011645017191767693,0.03027551993727684,-0.003427577670663595,-0.02460736781358719
0.009008703753352165,-0.030625805258750916,0.005443080328404903,-0.020214321091771126,-0.019536716863512993,0.010913616977632046,0.01976635865867138,-0.0018553957343101501,-0.01742016151547432,-0.02113671600818634,1.6542019844055176,0.005297979339957237,0.034227028489112854,0.014744431711733341,-0.012185705825686455,0.011062944307923317,0.011637140065431595,0.030246878042817116,-0.003408055054023862,-0.02462010458111763
0.00943499431014061,-0.03060062788426876,0.005312543362379074,-0.020764989778399467,-0.02007073536515236,0.010595928877592087,0.019165216013789177,-0.001353215891867876,-0.018000856041908264,-0.021433062851428986,1.5989058017730713,0.005354558117687702,0.03287753835320473,0.014360855333507061,-0.011895496398210526,0.01110086776316166,0.011483301408588886,0.029617557302117348,-0.0029793945141136646,-0.024893542751669884
0.0063365064561367035,-0.029420040547847748,0.004002305679023266,-0.028198745101690292,-0.026787135750055313,0.003949144389480352,0.011343637481331825,0.01146765984594822,-0.025947656482458115,-0.029248500242829323,0.2222256064414978,0.0054754274897277355,0.0004691157955676317,0.0015811390476301312,-0.0001272224762942642,0.0059616221114993095,0.007829087786376476,0.011390302330255508,0.0051576197147369385,-0.026666084304451942
0.012434825301170349,-0.031481314450502396,0.004226922523230314,-0.027678733691573143,-0.027069861069321632,0.007475968450307846,0.013197580352425575,0.005015961825847626,-0.024799233302474022,-0.02698076143860817,0.9222391843795776,0.005830352194607258,0.017947448417544365,0.008517345413565636,-0.006584275513887405,0.010288143530488014,0.010048171505331993,0.020422739908099174,0.0020775552839040756,-0.02815552055835724
